# Forceps scene export at Fri Apr 19 14:34:56 CEST 2024

# Genotypes included in the simulation
# genoptypeName	id name sname type s hmax amax g ddmin witn witx drtol ntol brow ly la lq immt ageMaturityForReproduction
# 0-Genotype-1	0 Abies alba AAlb E5 75.0 50.0 366.0 350.0 841.0 -6.0 5.0 0.23 3 5 0.05 1.0 2 -12000.0 40.0
# 17-Genotype-1	17 Fagus sylvatica FSyl D3 76.0 50.0 400.0 260.0 841.0 -6.0 9.0 0.25 2 3 0.05 1.0 2 -12000.0 45.0

#Trees
#date	patchId	id	speciesId	speciesShortName	genotypeName	age	dbh(cm)	height(m)	volume(m3)	crownA1	crownLength	dbhIncrement	slowGrowthIndex	foliageArea	LAI	lightAvailability	algf	treeDroughtIndex	droughtIndexModifier	basalArea(m2)	biomass(kg)	x	y

1960	1	10000002	17	FSyl	17-Genotype-1	59	17.7431	13.1466	0.1309	0.0404	-1	0.1796	0	64.3743	11.3278	0.0589	0.0404	0.0001	1	0.024726	144.67746	8.86	62.0202
1960	1	10000003	0	AAlb	0-Genotype-1	51	22.9111	15.8456	0.2554	0.2018	-1	0.3094	0	132.8114	10.4811	0.0728	0.1003	0.0001	1	0.041227	243.893505	8.86	62.0202
1960	1	10000004	0	AAlb	0-Genotype-1	57	32.4096	20.4997	0.6391	0.2362	-1	0.4905	0	261.5266	7.8165	0.1417	0.3465	0.0001	1	0.082497	557.051124	8.86	62.0202
1960	1	10000005	17	FSyl	17-Genotype-1	82	15.7389	11.974	0.0954	0.0355	-1	0.1373	0	46.1852	11.6558	0.0543	0.0196	0.0001	1	0.019455	107.416144	8.86	62.0202
1960	1	10000012	0	AAlb	0-Genotype-1	44	25.3786	17.1209	0.3349	0.2172	-1	0.3849	0	166.6357	9.567	0.0915	0.175	0.0001	1	0.050585	311.883924	8.86	62.0202
1960	1	10000013	0	AAlb	0-Genotype-1	69	43.4036	25.1006	1.3731	0.2648	-1	0.6612	0	454.3827	3.6343	0.4031	0.8057	0.0001	1	0.147959	1117.522796	8.86	62.0202
1960	1	10000015	17	FSyl	17-Genotype-1	60	24.5859	16.8843	0.3106	0.0556	-1	0.3222	0	154.2031	10.0581	0.0809	0.1336	0.0001	1	0.047475	324.870263	8.86	62.0202
1960	1	10000016	0	AAlb	0-Genotype-1	64	56.4719	29.6456	2.7039	0.2697	-1	0.6451	0	686.7879	2.1872	0.5788	0.914	0.0001	1	0.250469	2083.385447	8.86	62.0202
1960	1	10000017	0	AAlb	0-Genotype-1	57	37.9941	22.9341	0.9703	0.2515	-1	0.5806	0	353.426	5.9907	0.2236	0.5532	0.0001	1	0.113376	813.480824	8.86	62.0202
1960	1	10000022	0	AAlb	0-Genotype-1	60	28.1948	18.5184	0.4424	0.2297	-1	0.4569	0	206.2886	8.4734	0.1202	0.2781	0.0001	1	0.062435	400.962401	8.86	62.0202
